NO,IPTS NAME,STATE,Code,Lat,Lon
21,Limkokwing University of Creative Technology (Previously known as : Limkokwing University College of Creative Technology),Selangor,10,2.940203577,101.6628744
22,MAHSA University (Previously known as : MAHSA University College),Selangor,10,2.959669343,101.5764145
23,Malaysia University of Science and Technology (MUST),Selangor,10,3.154117986,101.5962903
24,Malaysian Institute for Supply Chain Innovation (MISI),Selangor,10,3.101196026,101.5381263
25,Management and Science University (MSU) (Previously known as : Kolej Universiti Teknologi dan Pengurusan Malaysia (KUTPM)),Selangor,10,3.078139038,101.5527807
26,Manipal International University,Negeri Sembilan,5,,
27,Meritus University,Wilayah Persekutuan Kuala Lumpur,14,3.119359408,101.6769954
28,Monash University Malaysia (Previously known as : Monash University Sunway Campus Malaysia),Selangor,10,3.065146927,101.6009849
29,"Multimedia University (MMU), Cyberjaya Campus",Selangor,10,2.927967303,101.6419116
30,"Multimedia University (MMU), Melaka Campus",Malacca,2,,
31,Newcastle University Medicine Malaysia,Johor,1,,
32,Nilai University (Previously known as : Nilai University College),Negeri Sembilan,5,,
33,Open University Malaysia (OUM),Wilayah Persekutuan Kuala Lumpur,14,3.100144087,101.5923195
34,Perdana University,Selangor,10,3.153237549,101.6663725
35,Putra Business School (PBS),Selangor,10,2.989975096,101.7258651
36,Quest International University Perak (Previously known as : Premier International University Perak (PIUP)),Perak,8,,
37,Raffles University (RU) (Previously known as : Raffles University Iskandar (RUI)),Johor,1,,
38,Royal College of Surgeons in Ireland and University College Dublin Malaysia Campus (Previously known as : Penang Medical College),Penang,7,,
39,SEGi University (Previously known as : SEGi University College),Selangor,10,3.148563201,101.5771535
40,Sunway University (Previously known as : Sunway University College (SYUC)),Selangor,10,3.067216873,101.6035726
41,Swinburne University of Technology Sarawak Campus,Sarawak,13,,
42,Taylor's University (Previously known as : Taylor's University College (Subang Jaya)),Selangor,10,3.064039554,101.6160581
43,UCSI University (Previously known as : Sedaya International College),Wilayah Persekutuan Kuala Lumpur,14,3.080133511,101.7335605
44,UCSI University (Terengganu Campus),Terengganu,11,,
45,"UCSI University, Sarawak Campus (Previously known as : Kolej Antarabangsa Sedaya Sarawak)",Sarawak,13,,
46,UNITAR International University (Previously known as : University of Management and Technology (UMTECH)),Selangor,10,3.100167421,101.6002222
47,Universiti Islam Antarabangsa Sultan Abdul Halim Mu'adzam Shah (UniSHAMS) (Previously known as : INSANIAH University College (KUIN)),Kedah,8,,
48,Universiti Islam Malaysia,Selangor,10,3.119254595,101.6417498
49,Universiti Kuala Lumpur - Kampus Kota (UniKL - Kampus Kota),Wilayah Persekutuan Kuala Lumpur,14,3.165362733,101.6995108
50,Universiti Kuala Lumpur - Kampus Kota (UniKL - Kampus Kota) Malaysian Institute of Information Technology (MIIT),Wilayah Persekutuan Kuala Lumpur,14,3.159581223,101.7014413
51,Universiti Kuala Lumpur - Kampus Kota (UniKL - Kampus Kota) Universiti Kuala Lumpur Business School,Wilayah Persekutuan Kuala Lumpur,14,3.168602247,101.7088756
52,Universiti Kuala Lumpur - Malaysian Institute of Aviation Technology (UniKL MIAT),Selangor,10,2.8514471,101.7362612
53,Universiti Kuala Lumpur - Malaysian Institute of Marine Engineering Technology (UniKL MIMET),Perak,8,,
54,Universiti Kuala Lumpur - Malaysian Spanish Institute (UniKL MSI),Kedah,8,,
55,Universiti Kuala Lumpur Kampus Cawangan British Malaysian Institute (UniKL - BMI) (Previously known as : Universiti Kuala Lumpur - British Malaysian Institute (UniKL - BMI) ),Selangor,10,3.251331217,101.728041
56,Universiti Kuala Lumpur Kampus Cawangan Institute of Medical Science Technology (UniKL - MESTECH) (Previously known as : Universiti Kuala Lumpur - Institute of Medical Science Technology (UniKL - MESTECH)),Selangor,10,2.977605957,101.7912698
57,Universiti Kuala Lumpur Kampus Cawangan Malaysia France Institute (UniKL-MFI),Selangor,10,2.928716294,101.75842
58,Universiti Kuala Lumpur Kampus Cawangan Malaysia Italy Design Institute (UniKL MIDI) (Previously known as : Universiti Kuala Lumpur - Institute of Product Design and Manufacturing (UniKL IPROM)),Wilayah Persekutuan Kuala Lumpur,14,3.128595142,101.7380508
59,Universiti Kuala Lumpur Kampus Cawangan Malaysian Institute of Chemical and Bioengineering Technology (UniKL MICET),Malacca,2,,
60,Universiti Kuala Lumpur Kampus Cawangan Malaysian Institute of Industrial Technology (UniKL - MITEC),Johor,1,,
61,Universiti Kuala Lumpur Kampus Cawangan Royal College of Medicine Perak (UniKL-RCMP) (Previously known as : Universiti Kuala Lumpur - Royal College of Medicine Perak (UniKL RCMP)),Perak,8,,
62,"Universiti Multimedia (MMU), Kampus Johor",Johor,1,,
63,"Universiti Selangor (UNISEL), Kampus Bestari Jaya (Previously known as : Universiti Selangor (UNISEL), Kampus Berjuntai Bestari)",Selangor,10,3.415907464,101.4378939
64,"Universiti Selangor (UNISEL), Shah Alam Campus (Previously known as : Universiti Industri Selangor (UNISEL))",Selangor,10,3.078071852,101.4951202
65,Universiti Sultan Azlan Shah (USAS) (Previously known as : Sultan Azlan Shah Islamic University College),Perak,8,,
66,Universiti Teknologi PETRONAS (UTP),Perak,8,,
67,"Universiti Tenaga Nasional (UNITEN, Kampus Sultan Haji Ahmad Shah)",Pahang,6,,
68,"Universiti Tenaga Nasional Kampus Putrajaya (UNITEN, Kampus Putrajaya)",Selangor,10,2.977066014,101.733645
69,Universiti Tun Abdul Razak (UNIRAZAK),Wilayah Persekutuan Kuala Lumpur,14,3.1624246,101.7193593
70,Universiti Tun Abdul Razak (UNIRAZAK) (Previously known as : Universiti Tun Abdul Razak (PINTAR Campus)),Selangor,10,3.105145846,101.5984029
71,Universiti Tun Abdul Razak (UNIRAZAK) PINTAR Campus (Previously known as : Universiti Tun Abdul Razak (UNITAR)),Selangor,10,3.081915544,101.612398
72,Universiti Tunku Abdul Rahman (UTAR) Sungai Long Campus,Selangor,10,3.040475633,101.7945405
73,"Universiti Tunku Abdul Rahman (UTAR), Kuala Lumpur Campus",Wilayah Persekutuan Kuala Lumpur,14,3.040475633,101.7945405
74,"Universiti Tunku Abdul Rahman (UTAR), Perak Campus",Perak,8,,
75,"Universiti Tunku Abdul Rahman (UTAR), Petaling Jaya Campus",Selangor,10,3.040475633,101.7945405
76,University Malaysia of Computer Science and Engineering (UNIMY),Selangor,10,2.912030013,101.6529093
77,University of Cyberjaya (UoC) (Previously known as : Cyberjaya University College of Medical Sciences),Selangor,10,2.930606376,101.6380469
78,University of Nottingham Malaysia (UNM) (Previously known as : The University of Nottingham Malaysia Campus (UNMC)),Selangor,10,2.945309074,101.8747123
79,University of Reading Malaysia,Johor,1,,
80,University of Southampton Malaysia (UoSM) (Previously known as : University of Southampton Malaysia Campus (USMC)),Johor,1,,
81,University Of Wales,Oversea,99,,
82,Wawasan Open University,Penang,7,,
83,Xiamen University Malaysia,Selangor,10,2.832682275,101.7070394
84,Allianze University College of Medical Sciences (AUCMS) (Previously known as : Allianze College of Medical Sciences (ACMS)),Penang,7,,
85,BERJAYA University College (Previously known as : BERJAYA University College of Hospitality),Wilayah Persekutuan Kuala Lumpur,14,3.142377114,101.710662
86,First City University College (Previously known as : KBU International College),Selangor,10,3.137946104,101.6069679
87,Geomatika University College (Previously known as : Geomatika College Of Technology),Wilayah Persekutuan Kuala Lumpur,14,3.17936092,101.7431383
88,Han Chiang University College of Communication (Previously known as : Han Chiang College),Penang,7,,
89,i-CATS University College (i-CATS UC) (Previously known as : International College of Advanced Technology Sarawak),Sarawak,13,,
90,International Islamic University College Selangor (Previously known as : Kolej Islam Selangor Darul Ehsan (KISDAR)),Selangor,10,2.890878923,101.7886561
91,International University College of Arts and Science (I-UCAS),Selangor,10,3.148068251,101.5743628
92,International University College Of Technology Twintech,Selangor,10,3.201168903,101.6134889
93,International University College Of Technology Twintech (IUCTT) Kelantan Campus,Kelantan,3,,
94,Islamic University College of Perlis,Perlis,9,,
95,Kolej Universiti Islam Pahang Sultan Ahmad Shah (Previously known as : Kolej Islam Pahang Sultan Ahmad Shah (KIPSAS)),Pahang,6,,
96,Kolej Universiti New Era (Previously known as : New Era College),Selangor,10,2.986845326,101.7927225
97,Kolej Universiti Poly-Tech MARA (KUPTM) Kuala Lumpur (Previously known as : Kolej Poly-Tech MARA Kuala Lumpur ),Wilayah Persekutuan Kuala Lumpur,14,3.127913816,101.7372629
98,Kolej Universiti Saito (Previously known as : Saito College),Selangor,10,3.099223974,101.6445056
99,Kolej Universiti Tunku Abdul Rahman Cawangan Pahang,Pahang,6,,
100,Kolej Universiti Tunku Abdul Rahman Cawangan Sabah,Sabah,12,,
101,KPJ Healthcare University College (Previously known as : Kolej Universiti Antarabangsa Kejururawatan dan Sains Kesihatan KPJ (KPJIUC)),Negeri Sembilan,5,,
102,Kuala Lumpur Metropolitan University College (KLMUC) (Previously known as : Kolej Universiti Antarabangsa Cosmopoint),Wilayah Persekutuan Kuala Lumpur,14,3.162288085,101.6954723
103,Lincoln University College (Previously known as : Lincoln College),Selangor,10,3.105162564,101.5983365
104,Linton University College (Previously known as : Kolej Linton),Negeri Sembilan,5,,
105,Manipal University College Malaysia (MUCM) (Previously known as : Melaka - Manipal Medical College),Malacca,2,,
106,Netherlands Maritime Institute of Technology (NMIT),Johor,1,,
107,North Borneo University College (NBUC) (Previously known as : International University College of Technology Twintech (Sabah)),Sabah,12,,
108,PICOMS International University College (PIUC) (Previously known as : PUSRAWI International College of Medical Sciences (PICOMS)),Wilayah Persekutuan Kuala Lumpur,14,3.222218235,101.6883606
109,Southern University College (Previously known as : Southern College),Johor,1,,
110,Tunku Abdul Rahman University College Johor Branch Campus (Previously known as : Tunku Abdul Rahman College Johor Branch Campus),Johor,1,,
111,Tunku Abdul Rahman University College Penang Branch Campus (Previously known as : Tunku Abdul Rahman College Penang Branch Campus),Penang,7,,
112,Tunku Abdul Rahman University College Perak Branch Campus (Previously known as : Tunku Abdul Rahman College Perak Branch Campus),Perak,8,,
113,"Tunku Abdul Rahman University College, Kuala Lumpur (Main Campus) (Previously known as : Tunku Abdul Rahman College (TARC))",Wilayah Persekutuan Kuala Lumpur,14,3.216481884,101.7289611
114,"Tunku Abdul Rahman University College, Pahang Campus (Previously known as : Tunku Abdul Rahman College Pahang Branch Campus)",Pahang,6,,
115,"Tunku Abdul Rahman University College, Sabah Campus (Previously known as : Tunku Abdul Rahman College Sabah Branch Campus)",Sabah,12,,
116,"Twintech International University College of Technology, Sri Damansara Campus (Previously known as : L & G Twintech Institute Of Technology)",Wilayah Persekutuan Kuala Lumpur,14,3.20120104,101.6135211
117,University College Bestari (Previously known as : Kolej Teknologi Bestari),Terengganu,11,,
118,University College Fairview,Selangor,10,3.195854514,101.7521961
119,University College of Agroscience Malaysia (Previously known as : Kolej RISDA Melaka),Malacca,2,,
120,University College of Islam Melaka (Previously known as : Kolej Teknologi Islam Antarabangsa Melaka),Malacca,2,,
121,University College of Technology Sarawak,Sarawak,13,,
122,University College of Yayasan Pahang (Previously known as : Kolej Yayasan Pahang (Taman Gelora)),Pahang,6,,
123,University College Sabah Foundation (UCSF),Sabah,12,,
124,University College TATI (UC TATI) (Previously known as : Institut Teknikal Tinggi Terengganu (TATI)),Terengganu,11,,
125,UOW MALAYSIA KDU Penang University College (Previously known as : KDU Penang University College),Penang,7,,
126,UOW MALAYSIA KDU University College (Previously known as : KDU University College),Selangor,10,3.092880436,101.5597647
127,Veritas University College,Penang,7,,
128,Widad University College (Previously known as : University College Shahputra),Pahang,6,,
129,Academy of Digital Animation and Media,Wilayah Persekutuan Kuala Lumpur,14,,
130,Admal Aviation College,Selangor,10,,
131,Adroit College,Wilayah Persekutuan Kuala Lumpur,14,,
132,Advance Tertiary College (ATC College) (Previously known as : Kolej Pendidikan Tinggi Kemayan (Kemayan ATC Kuala Lumpur)),Wilayah Persekutuan Kuala Lumpur,14,,
133,Adventist College of Nursing and Health Sciences (Previously known as : Kolej Kejururawatan Adventist),Penang,7,,
134,Akademi Laut Malaysia (ALAM) (Previously known as : Akademi Laut Malaysia Melaka (ALAM)),Malacca,2,,
135,Akademi Laut Malaysia (ALAM) Cawangan Terengganu,Terengganu,11,,
136,ALFA College (Previously known as : Kolej ALIF),Selangor,10,,
137,Alpha College of Technology (Previously known as : Institut Pengurusan Pujangga),Negeri Sembilan,5,,
138,AMC College (Previously known as : AMC The School of Business),Sabah,12,,
139,ASA College,Selangor,10,,
140,Aseana International College of Health Sciences,Sabah,12,,
141,Asia College of Exercise and Sport Medicine (ACESM),Selangor,10,,
142,"Asia Metropolitan College Kota Kinabalu (Previously known as : Masterskill Global College, Kota Kinabalu)",Sabah,12,,
143,"Asia Metropolitan College Kuching (Previously known as : Masterskill Global College, Kuching )",Sarawak,13,,
144,Asia Pacific Institute of Information Technology (APIIT),Wilayah Persekutuan Kuala Lumpur,14,,
145,Asia Pasific Flight Training Academy,Kelantan,3,,
146,Astin College (Previously known as : Kolej Pengurusan Astin),Selangor,10,,
147,ATI College (Previously known as : Institut Pelancongan Asia),Sabah,12,,
148,Aviation Management College,Selangor,10,,
149,Axismatics Professional Institute,Wilayah Persekutuan Kuala Lumpur,14,,
150,Baitulmal Professional College Kuala Lumpur (Previously known as : Institut Profesional Baitulmal),Wilayah Persekutuan Kuala Lumpur,14,,
151,Berjaya College (Previously known as : Berjaya College Of Nursing And Health Sciences),Wilayah Persekutuan Kuala Lumpur,14,,
152,Binary College (City Campus) (Previously known as : Binary Business School (Kuala Lumpur)),Wilayah Persekutuan Kuala Lumpur,14,,
153,Bostonweb College of Technology and Management,Wilayah Persekutuan Kuala Lumpur,14,,
154,Brickfields Asia College,Wilayah Persekutuan Kuala Lumpur,14,,
155,CECE Institute,Wilayah Persekutuan Kuala Lumpur,14,,
156,City Academy,Selangor,10,,
157,City College of Business Management,Wilayah Persekutuan Kuala Lumpur,14,,
158,Citypro Institute,Johor,1,,
159,Clara International Aesthetic College,Wilayah Persekutuan Kuala Lumpur,14,,
160,College MCS,Selangor,10,,
161,College of Al-Quran Terengganu (Previously known as : Kolej Yayasan Terengganu),Terengganu,11,,
162,College of Nursing and Health Sciences Seri Manjung,Perak,8,,
163,CONSIST College,Selangor,10,,
164,Cosmopoint College Ipoh (Previously known as : Cosmopoint International College of Technology Ipoh),Perak,8,,
165,Cosmopoint College Johor Bharu (Previously known as : Kolej Teknologi Antarabangsa Cosmopoint Cawangan Johor Bahru),Johor,1,,
166,Cosmopoint College Kota Bharu (Previously known as : Kolej Teknologi Antarabangsa Cosmopoint Cawangan Kota Bharu),Kelantan,3,,
167,Cosmopoint College Kota Kinabalu (Previously known as : Kolej Teknologi Antarabangsa Cosmopoint Cawangan Kota Kinabalu),Sabah,12,,
168,Cosmopoint College Kuala Terengganu (Previously known as : Kolej Teknologi Antarabangsa Cosmopoint (Cawangan Kuala Terengganu)),Terengganu,11,,
169,Cosmopoint College Kuantan (Previously known as : Kolej Teknologi Antarabangsa Cosmopoint Cawangan Kuantan),Pahang,6,,
170,Cosmopoint College Kuching (Previously known as : Kolej Teknologi Antarabangsa Cosmopoint Cawangan Kuching),Sarawak,13,,
171,Cosmopoint College Melaka (Previously known as : Kolej Teknologi Antarabangsa Cosmopoint Cawangan Melaka),Malacca,2,,
172,Cosmopoint College Pulau Pinang (Previously known as : Kolej Teknologi Antarabangsa Cosmopoint Cawangan Pulau Pinang),Penang,7,,
173,Cosmopoint College Seremban (Previously known as : Cosmopoint International College of Technology Seremban Branch),Negeri Sembilan,5,,
174,Cosmopoint College Sungai Petani (Previously known as : Kolej Teknologi Antarabangsa Cosmopoint Cawangan Sungai Petani),Kedah,8,,
175,Crescendo International College,Johor,1,,
176,Cyberjaya International College,Selangor,10,,
177,Cyberlynx International College,Wilayah Persekutuan Kuala Lumpur,14,,
178,Cybernetics International College,Selangor,10,,
179,Cybernetics International College of Technology (Previously known as : Kolej Teknologi Cybernetics),Wilayah Persekutuan Kuala Lumpur,14,,
180,Dasein Academy of Art,Wilayah Persekutuan Kuala Lumpur,14,,
181,Despark College,Selangor,10,,
182,DiKA College,Selangor,10,,
183,Disted College (Previously known as : Disted-Stamford College),Penang,7,,
184,DOMA College (Previously known as : Kolej Informatics (Kuala Lumpur)),Selangor,10,,
185,DSH Institute of Technology (Previously known as : Institut Sains Kesihatan DSH),Wilayah Persekutuan Kuala Lumpur,14,,
186,East West International College,Negeri Sembilan,5,,
187,Eastern College,Sabah,12,,
188,Elite International College,Wilayah Persekutuan Kuala Lumpur,14,,
189,Epitome College (Previously known as : SAE Institute),Selangor,10,,
190,Equator College,Penang,7,,
191,Erican College (Previously known as : Pusat Latihan Rekahias Dalaman Pratique),Wilayah Persekutuan Kuala Lumpur,14,,
192,Etrain College,Selangor,10,,
193,EU Institute,Selangor,10,,
194,Excel International College,Selangor,10,,
195,Executive College (Previously known as : Institut Eksekutif),Sarawak,13,,
196,Fajar International College (Previously known as : Kolej Fajar),Sarawak,13,,
197,FAME International College (Previously known as : FTMS International College),Sarawak,13,,
198,FELCRA College,Perak,8,,
199,Flamingo International College,Selangor,10,,
200,Food Institute of Malaysia,Selangor,10,,
201,FTMS College (Previously known as : Institut Latihan FTMS-ICL (Lebuh Ampang)),Selangor,10,,
202,Gemilang College,Wilayah Persekutuan Kuala Lumpur,14,,
203,Genting INTI International College,Pahang,6,,
204,Geospatial Science and Technology College,Wilayah Persekutuan Kuala Lumpur,14,,
205,German Malaysian Institute (GMI),Selangor,10,,
206,Global Institute Of Studies,Negeri Sembilan,5,,
207,Goon International College (Previously known as : Goon Institute),Wilayah Persekutuan Kuala Lumpur,14,,
208,Greencity International College (Previously known as : Orange International College),Wilayah Persekutuan Kuala Lumpur,14,,
209,Hafiz College,Selangor,10,,
210,HELP Academy,Wilayah Persekutuan Kuala Lumpur,14,,
211,Hospital Fatimah School of Nursing,Perak,8,,
212,"IACT College (International Advertising, Communication & Technology) (Previously known as : IACT College)",Selangor,10,,
213,IBS College,Sarawak,13,,
214,ICAN College (Previously known as : Kolej Integrasi Kejururawatan dan Kesihatan Bersekutu),Wilayah Persekutuan Kuala Lumpur,14,,
215,iCOOP College,Selangor,10,,
216,IHM College (Previously known as : In - House Multimedia College),Wilayah Persekutuan Kuala Lumpur,14,,
217,IJN College,Wilayah Persekutuan Kuala Lumpur,14,,
218,IMH Academy,Sarawak,13,,
219,Imperia College (Previously known as : Imperia College of Hospitality),Pahang,6,,
220,Imperia International College (Previously known as : Imperia College),Selangor,10,,
221,Imperium International College (Previously known as : HELP College of Arts and Technology),Wilayah Persekutuan Kuala Lumpur,14,,
222,Impiana International College,Selangor,10,,
223,Innovative Engineering Design College (IEDC),Selangor,10,,
224,Innovative International College,Selangor,10,,
225,INPENS International College (Previously known as : Kolej INPENS),Selangor,10,,
226,Institut Akauntan KTC,Johor,1,,
227,Institut Akauntan KTC (Cawangan Kluang),Johor,1,,
228,Institut Akauntan KTC (Cawangan Muar),Johor,1,,
229,Institut Akauntan KTC Cawangan Johor Bahru,Johor,1,,
230,Institut Dakwah Islamiah PERKIM (IDIP),Kelantan,3,,
231,Institut First Robotics Industrial Science (FRIS),Penang,7,,
232,Institut FMM,Wilayah Persekutuan Kuala Lumpur,14,,
233,Institut Hasani Kedah,Kedah,8,,
234,Institut Informasi Multimedia,Pahang,6,,
235,Institut Integrasi Utama Avicenna,Selangor,10,,
236,Institut I-Systems Klang (Previously known as : Institut Systematic (Klang)),Selangor,10,,
237,Institut I-Systems Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur,14,,
238,Institut I-Systems Kuching,Sarawak,13,,
239,Institut Media Integratif Malaysia (MIIM),Wilayah Persekutuan Kuala Lumpur,14,,
240,Institut Optopreneur,Wilayah Persekutuan Kuala Lumpur,14,,
241,Institut Pelaburan PNB,Wilayah Persekutuan Kuala Lumpur,14,,
242,Institut Pengajian Tinggi Islam Perlis (IPTIP),Perlis,9,,
243,Institut Pengurusan Malaysia,Wilayah Persekutuan Kuala Lumpur,14,,
244,Institut Pengurusan Teknologi Utara,Kedah,8,,
245,Institut Sains dan Pengurusan,Sabah,12,,
246,Institut Sains Dan Teknologi Darul Takzim (INSTEDT),Johor,1,,
247,Institut Sinaran,Sabah,12,,
248,Institut Teknologi A.N.S.,Kedah,8,,
249,Institut Teknologi Dan Pengurusan Lebuh Victoria (ITPLV),Penang,7,,
250,Institut Teknologi Ibnu Sina,Wilayah Persekutuan Kuala Lumpur,14,,
251,Institut Teknologi Tun Abdul Razak (ITTAR Alor Setar),Kedah,8,,
252,Institut Teknologi Tun Abdul Razak (ITTAR Johor Bahru),Johor,1,,
253,Institut Teknologi Tun Abdul Razak (ITTAR Kota Bharu),Kelantan,3,,
254,Institut Teknologi Tun Abdul Razak (ITTAR Kuala Lumpur),Wilayah Persekutuan Kuala Lumpur,14,,
255,Institut Teknologi Tun Abdul Razak (ITTAR Petaling Jaya),Selangor,10,,
256,Institut Teknologi Tun Abdul Razak (ITTAR Pulau Pinang),Penang,7,,
257,INTEC Education College,Selangor,10,,
258,International College of Advanced Technology Sarawak (i - CATS) Miri Branch,Sarawak,13,,
259,International College Of Health Sciences (ICHS),Selangor,10,,
260,International College of Music (ICOM),Wilayah Persekutuan Kuala Lumpur,14,,
261,International College of Technology & Professional (Previously known as : Kolej Teknologi dan Profesional Indera Kayangan),Perlis,9,,
262,International College of Yayasan Melaka (Previously known as : Kolej Yayasan Melaka),Malacca,2,,
263,International Institute of Management and Technology (IIMAT),Wilayah Persekutuan Kuala Lumpur,14,,
264,International Institute of Science Mantin (Previously known as : Institute of Medical Sciences Mantin (IMM)),Negeri Sembilan,5,,
265,International Islamic College,Wilayah Persekutuan Kuala Lumpur,14,,
266,International Medical College Melaka (Previously known as : Melaka Pantai College of Nursing and Health Science),Malacca,2,,
267,"International Medical College Subang Jaya, Malaysia (Previously known as : Kolej Kejururawatan dan Sains Kesihatan Pantai)",Selangor,10,,
268,International Open College,Wilayah Persekutuan Kuala Lumpur,14,,
269,INTI College Nilai (Previously known as : INTI College Sarawak),Negeri Sembilan,5,,
270,INTI College Sabah,Sabah,12,,
271,INTI International College Kuala Lumpur (Previously known as : Metropolitan College),Wilayah Persekutuan Kuala Lumpur,14,,
272,INTI International College Penang,Penang,7,,
273,INTI International College Subang (Previously known as : INTI College Subang Jaya),Selangor,10,,
274,ISBAUK Thinking Skills College,Wilayah Persekutuan Kuala Lumpur,14,,
275,Islamic College As-Sofa,Selangor,10,,
276,Islamic College of Science & Technology (Previously known as : Institut Pengajian Ilmu-Ilmu Islam),Kelantan,3,,
277,Islamic College of Science and Technology Terengganu Branch,Terengganu,11,,
278,Island College of Technology,Penang,7,,
279,I-Systems College Miri,Sarawak,13,,
280,ITA College,Sarawak,13,,
281,Jati Institute (Previously known as : Kolej Legenda Jati),Negeri Sembilan,5,,
282,Jeneva College (Previously known as : Victoria International College Bandar Tasik Puteri),Wilayah Persekutuan Kuala Lumpur,14,,
283,Jesselton College,Sabah,12,,
284,Kemayan Advance Tertiary College (Penang Branch),Penang,7,,
285,Keris College,Perak,8,,
286,KFCH International College,Selangor,10,,
287,Kiara College,Sabah,12,,
288,Kinabalu Commercial College,Sabah,12,,
289,Kings College (Previously known as : Kolej Bandar),Wilayah Persekutuan Kuala Lumpur,14,,
290,Kirkby International College,Selangor,10,,
291,KLIA Professional & Management College,Selangor,10,,
292,Kojadi Institute,Wilayah Persekutuan Kuala Lumpur,14,,
293,Kolej Aman Batu Pahat,Johor,1,,
294,Kolej Antarabangsa AlmaCrest,Sabah,12,,
295,Kolej Antarabangsa Dunia Melayu Dunia Islam (KADMDI) (Previously known as : Institut Kota Melaka),Malacca,2,,
296,Kolej Bayu,Selangor,10,,
297,Kolej Chermai Jaya,Sarawak,13,,
298,Kolej Dar Al-Hikmah,Selangor,10,,
299,Kolej Geomatika Cawangan Keningau,Sabah,12,,
300,Kolej Ibukota Kinabalu,Sabah,12,,
301,Kolej Informasi Teknologi Cosmospect,Perak,8,,
302,Kolej Informatics (Kuching),Sarawak,13,,
303,Kolej Integrasi Perkembangan Kemahiran (IPK),Penang,7,,
304,Kolej Islam Antarabangsa Sultan Ismail Petra (KIAS),Kelantan,3,,
305,Kolej Islam Teknologi Antarabangsa (KITAB),Penang,7,,
306,Kolej I-Systems Johor Bahru,Johor,1,,
307,Kolej I-Systems Kota Kinabalu,Sabah,12,,
308,Kolej I-Systems Kuching,Sarawak,13,,
309,Kolej ITJ (Previously known as : Institut Teknologi Jaya),Wilayah Persekutuan Kuala Lumpur,14,,
310,Kolej Kamunting,Perak,8,,
311,Kolej Karisma,Negeri Sembilan,5,,
312,Kolej KETENGAH,Terengganu,11,,
313,Kolej Laila Taib (Previously known as : Kolej Bersatu Sarawak),Sarawak,13,,
314,Kolej Legenda,Negeri Sembilan,5,,
315,Kolej MAHSA Kampus Sabah,Sabah,12,,
316,Kolej Maxwell (Previously known as : Kolej Teknologi Kejuruteraan Perak),Perak,8,,
317,Kolej MDIS Malaysia,Johor,1,,
318,Kolej Multimedia (Selatan),Malacca,2,,
319,Kolej Mutiara (Previously known as : Institut Mutiara Mopar (Kajang)),Selangor,10,,
320,Kolej Negeri Chedang Campus,Negeri Sembilan,5,,
321,Kolej Omega (Previously known as : Institut Omega),Johor,1,,
322,Kolej Pacific Kuantan,Pahang,6,,
323,Kolej Pendidikan Perdana (KOPEDA),Selangor,10,,
324,Kolej Pengajian Islam Johor (MARSAH),Johor,1,,
325,Kolej Pengajian Siswazah SEGi (Previously known as : Kolej Pengajian Siswazah Antarabangsa),Selangor,10,,
326,Kolej Perdana,Selangor,10,,
327,Kolej Perkembangan Awal Kanak-kanak (Previously known as : Institute of Early Years Development),Selangor,10,,
328,Kolej Pintar,Wilayah Persekutuan Kuala Lumpur,14,,
